201001-231632_bem_fb0_elicit_21,kwena kuno biaolo nshaciba na kwisako bampatikishe fye ne mwine 
201001-231632_bem_fb0_elicit_22,paul ati nga abakupatikishe ni bani 
201001-231632_bem_fb0_elicit_23,janet banandi bamo ifi no kuya nabaya nshishibe no ko bali 
201001-231632_bem_fb0_elicit_24,paul nga iwe ico wikalile cinshi nga babiyo mwishile nabo nabaya 
201001-231632_bem_fb0_elicit_26,janet iyo mulamu na ine wine nail ndi fye mu nshila lilya mwaisanjita 
201001-231632_bem_fb0_elicit_27,robin awi mulamu ulefwaya ukufisa wishibe natufulwa sana pa kusanga ulecinda na ulya cilumendo joni akuminepo ne ntanshi 
201001-231632_bem_fb0_elicit_28,wishibe tuli no kwisafisha umulandu ku mwinamobe pantu ulemusebanya sana kanshi mwe banakashi ba muno tamwakwata mano 
201001-231632_bem_fb0_elicit_29,kabili lino line akuya na ku ng anda 
201001-231632_bem_fb0_elicit_30,janet pa kumono bukali bwakwa robin ifilamba fyalapona ubulanda no mwenso fyaisulo mutima wakwe atampa ukulanguluka 
201001-231632_bem_fb0_elicit_31,robin ati nga wishile ne ncinga kabule apo ushile twende 
201001-231632_bem_fb0_elicit_32,janet ukwabula ne fikansa ayabuula incinga apo ashile 
201001-231632_bem_fb0_elicit_33,pa nshita ii ninshi ulya cilumendo umundebele bafyuka kale aleti nalelo nalalungwa 
201001-231632_bem_fb0_elicit_34,abalumendo na janet banina pa macinga balaya ku mushi 
201001-231632_bem_fb0_elicit_35,mu nshila robin alaeba janet ati kwena bukwe aubulaba pa bukulu lilya mwacilacinda jaivi na ulya mulumendo nga nail naisakuuma ulupi 
201001-231632_bem_fb0_elicit_36,janet ati ee cinecine babukwe nga mwacinguma fye pantu nimbifya 
201001-231632_bem_fb0_elicit_37,kwena napapata mwikesasosa kuli joni akesanjipaya fye 
201001-231632_bem_fb0_elicit_38,paul ayasuka ati iyoo tuli no kwisamweba pantu nga aumfwila kuli bambi ilyo na ifwe natukumona kuti atufulilwa sana 
201001-231632_bem_fb0_elicit_39,iwe auba na mano ya kumutiina nga teti ulecita ifyo ashifwaya 
201001-231632_bem_fb0_elicit_40,janet pa kumfwa abalumendo ifyo bakosa mu tunwa atendeka ukulila aika na pa ncinga 
201001-231632_bem_fb0_elicit_41,ababiye kwa janet mu mushi bapapa nganshi pa kumona apo janet abwelela uwaciba atile naya ndafwaya umunkoyo 
201001-231632_bem_fb0_elicit_42,lelo abwela icungulo sana no munkoyo takwete kabili alemoneka uwakolwa sana batampa no kumutunganya 
201001-231632_bem_fb0_elicit_43,bamo abamwene janet uko alecinda jaivi mu biaolo baisasosa kuli banalume kwa joni 
201001-231632_bem_fb0_elicit_44,banalume jonie bafulwa sana basuka baya kusabasuka baya ku ng anda kwa janet icungulo ku kumukalipila 
201001-231632_bem_fb0_elicit_45,bati bashifika pa mwinshi janet ayasuka fye bulandabulanda 
201001-231632_bem_fb0_elicit_46,cilya baingila janet abaposha ati mwapoleni mukwai 
201001-231632_bem_fb0_elicit_47,nabo endita mayo mwapoleni 
201001-231632_bem_fb0_elicit_48,kabili bati batuushe ponono elyo kabili abati 
201001-231632_bem_fb0_elicit_49,we mwana wandi akasuba konse aka wile fye ku biaolo cintu cabipa sana kabili taulingile kubwekeshapo 
201006-011410_bem_798_elicit_0,aendele bushiku bonse asuka afika ku blueville lucelocelo fye akasuba lakalafika na kuli 08 00 hours 
201006-011410_bem_798_elicit_1,kuti nanaka nalepela 
201006-011410_bem_798_elicit_2,aikala na pa cilibwe cimo ifi epo alaontela akasuba 
201006-011410_bem_798_elicit_3,pali ni pa mulungu bamotoka tebapwingi abaleya ku tulabu na ku calici ku kupepa 
201006-011410_bem_798_elicit_4,kuti umushi ukabile na see ku cilulumo caba motoka 
201006-011410_bem_798_elicit_5,umushi uukulu taata ciyaya mu bukulu intamfu cintampendwa 
201006-011410_bem_798_elicit_6,mu butali mwena na menso leti yafikeko ukwapelelo mushi 
201006-011410_bem_798_elicit_7,baukula mwisamba lya lupili ulo batila blueville iwabo lwafita ekwafuma ne shina line ilyo 
201006-011410_bem_798_elicit_8,lwakumasamba kwapita ne cimana icikulu saana batila ci lomfyo 
201006-011410_bem_798_elicit_9,acili alepapa umushi ubukulu napunamina mu muulu aumfwafye uko umuntu umo alemuposha 
201006-011410_bem_798_elicit_10,ico ashishibe cilimi icakumwasuka cabula 
201006-011410_bem_798_elicit_11,awe kuwayawayafye ku minwe asuka ailuka ukuti uyu muntu mweni saana mu blueville 
201006-011410_bem_798_elicit_12,epa kumusenda ku calici uko aleya ali tubwelele nao ku ng anda nje musunge 
201006-011410_bem_798_elicit_13,bati bafike ku calici babulo tufipe pantu latwafulile batubika mwisamba lya cimuti 
201006-011410_bem_798_elicit_14,baingila na mu qanda ya mulungu 
201006-011410_bem_798_elicit_15,we ciyanda nobe ulaikulila wee 
201006-011410_bem_798_elicit_16,we ciyanda nobe ulasamikwa wee 
201006-011410_bem_798_elicit_17,ala shamitombo kuti eketefye pa kanwa 
201006-011410_bem_798_elicit_18,aikalile lwa ku mwinshi uko alemonafye na fyonse ifyalecitika 
201006-011410_bem_798_elicit_19,aleti amona umuntu onse uwaingila abala atibila pakati elyo ayafwaya apa kufukama 
201006-011410_bem_798_elicit_20,ifyo finefye bonse abasungu na bafila abaume na banakashi 
201006-011410_bem_798_elicit_21,babula ne nyimbo mukwai capola na pole 
201006-011410_bem_798_elicit_22,neci muli ne cinanda lelo nga mube nga ku mpili sha mipashi yabo kulya balishafye noma 
201006-011410_bem_798_elicit_23,na mu matwi kuti muli na poo 
201006-011410_bem_798_elicit_24,cilya bafuma abantu balaposhanya mu minwe ne nseko ishingi saana saana fye 
201006-011410_bem_798_elicit_25,shamitombo ena aletambakofye 
201006-011410_bem_798_elicit_26,asuka anatole uwamutolele alamulondolola ku banankwe abasungu na bafita 
201006-011410_bem_798_elicit_27,bonse baisalongana akabungwe balamuposha mu cilimi ca kumyabo balemufunka na mu minwe 
201006-011410_bem_798_elicit_28,paisapo no mukashana umo nao anatole alamulondolwela ati uyu mulamu e cibusa wandi ntolele mu musebo 
201006-011410_bem_798_elicit_29,ico shamitombo taleumfwako ifyo balesosa asekafye babwela balafunkana na mu minwe 
201006-011410_bem_798_elicit_30,maria afumapo aya na filya apali abesukulu banankwe apo pene epo ayasanga na pauli ferdinand 
201006-011410_bem_798_elicit_31,balalanda balaseke cibi 
201006-011410_bem_798_elicit_32,shamitombo ena batangishanya na anatole balaya na ku ng anda 
201006-011410_bem_798_elicit_33,shamitombo camupeseshefye na maano pa kusanga abantu ba ku blueville bamusekelele ifyo ashalala mona 
201006-011410_bem_798_elicit_34,munda alekumbwa saana ukwipusha uko calolele nomba ici ashaishibe cilimi camupelenganya 
201006-011410_bem_798_elicit_35,akonkelelefye co cine abantu bawamisha ku mutima ebele na ine ku calici nshakulapuswako 
201006-011410_bem_798_elicit_36,asuka baishibana na bantu abengi saana 
201006-011410_bem_798_elicit_37,maria vigodolo asuka aya ku sukulu uko alesam bilila 
201006-011410_bem_798_elicit_38,ninshi e mwaka wa kupwililisha 
201006-011410_bem_798_elicit_39,shamitombo nao ci maindo aya alacishiba bwino bwino saana 
201006-011410_bem_798_elicit_40,alapanga no kuyaingile ncilo 
201006-011410_bem_798_elicit_41,asuka ubushiku bumo alaeba anatole ati shikulu bushe ninshi teti kumoneke ukwakwingile ncito 
201006-011410_bem_798_elicit_42,nao anatole ebele ico eco usose kabili nomba nawishiba icílimi cesu 
201006-011410_bem_798_elicit_43,eko kuli uko balefwaya abashilika ku kamba 
201006-011410_bem_798_elicit_44,nomba cilingile ukuu nga bayakwingisha na iwe ukabikepo umutima pakusambilia lcipotugishi 
201006-011410_bem_798_elicit_45,pantu ecilimi cakuno 
201006-011410_bem_798_elicit_46,lyena na basungu baka ba mucele 
201006-011410_bem_798_elicit_47,ku kamba shamitombo labailemucushako nelyo panoono iyoo 
201006-011410_bem_798_elicit_48,batilefye bashimumone cimo bukulu bebele niwe ani ishina 
201006-011410_bem_798_elicit_49,balamulemba na muli lejista 
200925-062606_bem_798_elicit_0,twaishibo kuti yesu kristu akwata umubili wakwe pano isonde 
200925-062606_bem_798_elicit_1,kabili abatetekela bonse baba muli uyu mubili nelyo bengaba mu nkuta shesu nangu mu nkuta shimbi 
200925-062606_bem_798_elicit_2,pamulandu wakuti ifyabupe fintu shikulu yesu atupeele fyaba ifyakubombelako pakukula umubili wakwe 
200925-062606_bem_798_elicit_3,tulingile ukusalanganya ici citabo ku bantu bonse abalefwaya ukubelenga 
200925-062606_bem_798_elicit_4,twilabo kuti ulukuta ululi lonse nelyo inkuta ishibombela pamo balikwata ifintu ifyo bakabila ukulanshanyapo no kusambilila 
200925-062606_bem_798_elicit_5,pamo pene na mu cipingo icebo cakwa lesa mwaba amakalata yamo ayalembelwe ku nkuta shimo 
200925-062606_bem_798_elicit_6,muli ayo makalata abatumwa balembele pamulandu wa fintu fimo pamo na mafya yantu abalimo balekwata 
200925-062606_bem_798_elicit_7,napali ino nshita ayo makalata yabelapo kukusambilisha abantu bonse pantu kuti yabakuula mu misango ya bwikalo intu basangwamo 
200925-062606_bem_798_elicit_8,ifyo fine na kuli ici citabo ca natuleya 
200925-062606_bem_798_elicit_9,akabungwe kesu kamona ukutila nelyo amasambililo ayengi kuti yabomba ukwafwilisha abena kristu ba mu nkuta shonse 
200925-062606_bem_798_elicit_10,kuli fimo ifilefwaikwa tulembe pakwafwilisha ba mu nkuta shesu isha christian brethren palwabo 
200925-062606_bem_798_elicit_11,kanshi emulandu twalundamo akapepela aka 
200925-062606_bem_798_elicit_12,abantu bonse bali abantungwa ukubelenga ici citabo makamaka abali mu nkunta ishileshimpwa muli ino myaka 
200925-062606_bem_798_elicit_13,pantu bena kuti basambilila no kusokwa pamulandu wa fintu inkuta shashimpilwe akale shapitamo pamyaka umwanda umo no kucila 
200925-062606_bem_798_elicit_14,nga cakuti intungulushi sha inkuta shimbi shilefwaya ukulundako amalembo na yambi kuli ci citabo ilintu shilecituma ku nkuta shabo 
200925-062606_bem_798_elicit_15,shilingile shibalilapo kwipusha bakalemba ba natuleya 
200925-062606_bem_798_elicit_16,ni muli ci citabo twakulalondolola 
200925-062606_bem_798_elicit_17,pamulandu wa fintu ifilecitika pakati kesu 
200925-062606_bem_798_elicit_18,ekutila nga cakuti kuli no kuba ukulongana kwa mikupe nelyo amasambilisho pa lukuta ululi lonse 
200925-062606_bem_798_elicit_19,kuti cawama ukwishibisha bamunyina ne nkashi ukupitila muli ci citabo pakuti baisa sangwako 
200925-062606_bem_798_elicit_20,kumfwa nga cakuti baminshioni benu babwela ku cifulo kuntu baile tandala 
200925-062606_bem_798_elicit_21,kuti cawama ukwishibisha babwamanyina bambi ukupitila muli ici citabo epali nalimo bamo balefwaya ukulanshanya nabo 
200925-062606_bem_798_elicit_22,nomba tulefwaya ukulanda pamulandu wa fintu fibili 
200925-062606_bem_798_elicit_23,mu citabo cantanshi twalondolwele ifyo ulupapulo lwa christian brethren lwalembelwe pakutendeka 
200925-062606_bem_798_elicit_24,pamulandu wakuti bamunyina ne nkashi bamo tabaumfwikishe tulefwaya ukulanda apabuta ukuti tatulelwisha ukupilibula ulu lupapulo iyoo 
200925-062606_bem_798_elicit_25,twaishiba ukuti ifwe pamo nge nkuta twalikwata ifintu ifyalinga ukubikako amano pakuti tukafikilishe amapange yakwa lesa pali lino isonde 
200925-062606_bem_798_elicit_26,ukupilibula kwa lupapulo tekuti kutwafwe ukufikilisha ubu buyo lelo icilefwaikwa ukucila fyonse kupilibula imitima yesu 
200925-062606_bem_798_elicit_27,nakuba ulo lupapulo ulwabapo talwabamo icintu nangu cimo icingatulesha ukufikilisha icimonwa icili conse ico lesa engapeela pa lukuta nelyo mu citungu nangu mu calo conse 
200925-062606_bem_798_elicit_28,ica cibili tulefwaya ukulondolola ifyo tukalasalanganya ici citabo mu nkuta shesu 
200925-062606_bem_798_elicit_29,ukusalanganya ici citabo e nshila imo intu lesa atupeele iyakwafwilamo abantu bambi 
200925-062606_bem_798_elicit_30,natubombe bwino 
200925-062606_bem_798_elicit_31,panuma yakulanshanya ne ntungulushi sha nkuta mu fitungu fyesu nacilinga ukulondolola ifyo ici citabo cikalasalanganishiwa 
200925-062606_bem_798_elicit_32,ici citabo cikalashitishiwa mu nkuta shesu na ku cintubwingi pamo na ku babwananyina mu nkuta shimbi 
200925-062606_bem_798_elicit_33,abantu abakalashitisha babwananyina aba mu nkuta shesu abakaipeela kukuitemenwa 
200925-062606_bem_798_elicit_34,umuntu onse ukubikapofye na balya abashaba mu nkuta sha christian brethren bali abantungwa ukushitako ici citabo 
200925-062606_bem_798_elicit_35,panuma ya milungu ine ukufuma pa bushiku ifitabo fyaletwa mu citungu 
200925-062606_bem_798_elicit_36,indalama ishashitishiwamo shilingile ukutumwa ku kasama pakuti shayafwa pakulemba ifitabo ifili no kukonkapo 
200925-062606_bem_798_elicit_37,ifitabo fikalafuma kuli bakalemba ku kasama no kwisa kuli bacoordinator mu citungu 
200925-062606_bem_798_elicit_38,coordinator akalapeela abakasalanganya mu miputule imisumba nelyo imishi ya citungu cakwe 
200925-062606_bem_798_elicit_39,kumfwa bakasalanganya nabo bakalapeela abakashitisha aba bakashitisha bakalasenda ifitabo ukulingana ne mpendwa bengashitisha 
200925-062606_bem_798_elicit_40,kabili balingile ukusontwa ne ntungulushi sha lukuta muntu balongana 
200925-062606_bem_798_elicit_41,mu kuya kwa nshita bakalasenda impendwa ya fitabo ukulingana ne ndalama bashitishe mu fitabo ifyalekeleshe 
200925-062606_bem_798_elicit_42,bakashitisha nga batemwa kuti bafwaya umuntu uwakubafwa ukushitisha 
200925-062606_bem_798_elicit_43,umuntu onse uuli mu mulimo wa ifi fitabo cibe ni mu kulemba nelyo mukusalanganya nangu ni mu kushitisha alingile ukwishibo kuti alebombela lesa mukwafwa ababwananyina 
200925-062606_bem_798_elicit_44,ekutila alebombela mu kuipeela mu bufumu bwakwa lesa ukwabula ukucetekela amalipilo 
200925-062606_bem_798_elicit_45,icintu cimbi casuminishiwe cakuti umuntu onse uwashitishe citabo cimo akulakwatamo k200 00 
200925-062606_bem_798_elicit_46,ifyo indalama shakulafika ku kasama 
200925-062606_bem_798_elicit_47,panuma ya milungu ine ukufuma pabushiku ifitabo fyaletwa mu citungu indalama ishashitishiwamo shilingile ukutumwa ku kasama 
200925-062606_bem_798_elicit_48,uyu musango ukalaafwa ukwishiba impendwa ya fitabo ifilingile ukulembwa mukukonkanyapo 
200925-062606_bem_798_elicit_49,elyo indalama shikalaafwa mukulemba ifitabo mu kukonkanyapo 
200925-062606_bem_798_elicit_50,kumfwa ifitabo ifyashalapo kuti fyashitishiwa panuma 
200925-062606_bem_798_elicit_51,ecalenga mukuya kwa nshita kashitisha onse akalasenda impendwa ya fitabo ifyalingana no mutengo wa ndalama ashitishe mu fitabo fyalekelesheko 
200925-062606_bem_798_elicit_52,kasalanganya akalatuma indalama ishikalafuma kuli bakashitisha bakwe kuli coordinator wa ico citungu elyo coordinator nao akalatuma ku kasama 
200925-062606_bem_798_elicit_53,coordinator wa citungu pamo nga kafwa wakwa kalemba alingile ukwangalila umulimo onse ukupitila mukusambilisha pamo no kulungika ifintu fyonse filelubana 
200925-062606_bem_798_elicit_54,intungulushi sha nkuta nasho shilingile ukwangalila umulimo wa kushitisha ifitabo mu nkuta shabo 
200925-062606_bem_798_elicit_55,nga cakuti umulimo wa kushitisha ifitabo walubana tekuti kube ukupokelela ifitabo ifyakulakonkapo pali lulya lukuta 
200925-062606_bem_798_elicit_56,mukwai muli abantungwa ukwipusha apo tamumfwile 
201007-181124_bem_526_elicit_0,umunandi apola ubwinga bwakwe 
201007-181124_bem_526_elicit_1,ubushiku nabo bwakokwele nganshi neco nalele fye umutwe ushili tulo 
201007-181124_bem_526_elicit_2,kuti ndeti fye panono naima ukuyamona ifyo umulwele ali 
201007-181124_bem_526_elicit_3,kuti buleca fye nashibuka nasanga umulwele nashibuka kale alebelenga ne buku 
201007-181124_bem_526_elicit_4,cilya amona fye uko nabuka naumfwa asosa ati mune eba uyo muntu anaye ubwali insala yakalipa 
201007-181124_bem_526_elicit_5,ine natala nasunguka nati bushe cinecine umunandi napola 
201007-181124_bem_526_elicit_6,awe namwipusha nati uli shani mune 
201007-181124_bem_526_elicit_7,naumfwa ati fye ndi bwino sana mune tapali fye na kalenkalipa nelyo kamo 
201007-181124_bem_526_elicit_8,mukwai nasantika na lesa mukulu pamo ne mfumu iyafwaile ulya muti 
201007-181124_bem_526_elicit_9,ico kuki wesu aliumfwile ukuti umunadi alefwaya ubwali bwangu bwangu atekapo no bwali anaya aleta twalalya no kulya 
201007-181124_bem_526_elicit_10,kwena pa kubala natontonkenye ukumulesha ukuti elyako nama pantu e yamulwalike 
201007-181124_bem_526_elicit_11,lelo naishiba ukuti tapali munani umbi eco namulekcle fye alya no kulya 
201007-181124_bem_526_elicit_12,cilya twapwa ukulya ubwali awe ne mfumu yafika 
201007-181124_bem_526_elicit_13,yalaipusha umunandi aiti mwashibuka shani 
201007-181124_bem_526_elicit_14,ati fye awe mukwai ndi fye umutende nganshi ni nsala fye yacilakalipa nomba ici nalya ubwali naba fye bwinobwino 
201007-181124_bem_526_elicit_15,cilya imfumu yabwelelamo awe twaya na ku kufundisha 
201007-181124_bem_526_elicit_16,nayamba ukushimikila umunandi ifyo ako kakashana kailetapa amenshi kabombeshe nefyo kali no bulanda pa bulwele bwakwe 
201007-181124_bem_526_elicit_17,namona umunandi umutima wacinja akatemwa nganshi ati kalinga ukukopa 
201007-181124_bem_526_elicit_18,asuka akepusha ati bushe taufwaya kuupwa 
201007-181124_bem_526_elicit_19,nako akati ndafwaya mukwai 
201007-181124_bem_526_elicit_20,cilya twapwa fye isukulu namona baya na mu sanda na kakashana kene ako balalanda na ine ico naishibe ilyashi 
201007-181124_bem_526_elicit_21,nafumapo nayandeyangala kumbi pakuti belacita nsoni pa kumfwana abene 
201007-181124_bem_526_elicit_22,uko naile nasanga abantu baletumya ukukobola amasaka awe na ine nalabafwako bwangubwangu twapwa twaya na ku mushi 
201007-181124_bem_526_elicit_23,awe batubila nomba ii nshita yena tatwaileko iyo batuletelako fye mu itepe twalanwa 
201007-181124_bem_526_elicit_24,naipusha umunandi nati bushe mulandile shani no mukashana 
201007-181124_bem_526_elicit_25,naumfwa ati fye mune nderupa ne nsalamu ndetwala lelo line 
201007-181124_bem_526_elicit_26,na cine namona umunandi acincila sana 
201007-181124_bem_526_elicit_27,cilya twapwa fye ukunwa ubwalwa icungulo aita no muntu ukuti amutwalile insalamu ku bafyashi ba mukashana 
201007-181124_bem_526_elicit_28,awe ulya muntu ukubwelela kuli ifwe asosa fye ati basumina 
201007-181124_bem_526_elicit_29,awe ine nalamuseka nati bushe nga abapatili baisa iwe ukashala kuno mwa naumfwa asumina ati ce nkashala 
201007-181124_bem_526_elicit_30,naco nga bafwaya ukuti nkaye kano nkasende no mukashi wandi 
201007-181124_bem_526_elicit_31,ico ku calo kulya tabaishiba bwinga bamupingwile fye ukutwala indalama amakumi yane epela 
201007-181124_bem_526_elicit_32,nomba ico apo twaille tatwafolele nangu mweshi umo nao abalaya fye ukuti nkamupela 
201007-181124_bem_526_elicit_33,ico nabo beshibe ukuti ni kafundisha awe basumina ukubofya icungulo namona umunandi akuka na mu sanda twalesendama nankwe 
201007-181124_bem_526_elicit_34,aya ku kayanda kambi nga filya emo balasendama no mukashi wakwe 
201007-181124_bem_526_elicit_35,nomba ifwe twashala babili na kuki muli cilya cipompa cesu umwatalala na tondolo 
